Driver Full Name,Season,Race ID,Track Name,Race,Start,Finish,Wins,Top 5s,Top 10s,DNFs,Laps Led,Points,Playoff Points Earned,Laps Completed,Interval
William Byron,2023,4,Atlanta Motor Speedway,Atlanta2,18,1,1,1,1,0,19,46,5,185,0 seconds
Daniel Suárez,2023,4,Atlanta Motor Speedway,Atlanta2,26,2,0,1,1,0,0,35,0,185,1.015 seconds
Brad Keselowski,2023,4,Atlanta Motor Speedway,Atlanta2,11,6,0,0,1,0,19,41,1,185,3.419 seconds
Ryan Blaney,2023,4,Atlanta Motor Speedway,Atlanta2,2,9,0,0,1,0,20,47,1,185,4.084 seconds
Austin Cindric,2023,4,Atlanta Motor Speedway,Atlanta2,10,12,0,0,0,0,10,36,0,185,6.709 seconds
Chase Elliott,2023,4,Atlanta Motor Speedway,Atlanta2,23,13,0,0,0,0,0,24,0,185,6.71 seconds
Denny Hamlin,2023,4,Atlanta Motor Speedway,Atlanta2,14,14,0,0,0,0,0,23,0,185,6.711 seconds
Joey Logano,2023,4,Atlanta Motor Speedway,Atlanta2,4,17,0,0,0,0,11,27,0,185,9.226 seconds
Chase Briscoe,2023,4,Atlanta Motor Speedway,Atlanta2,3,22,0,0,0,0,0,15,0,185,12.288 seconds
Christopher Bell,2023,4,Atlanta Motor Speedway,Atlanta2,34,23,0,0,0,0,0,21,0,185,13.218 seconds
Alex Bowman,2023,4,Atlanta Motor Speedway,Atlanta2,36,26,0,0,0,0,0,11,0,185,18.194 seconds
Tyler Reddick,2023,4,Atlanta Motor Speedway,Atlanta2,12,27,0,0,0,0,0,12,0,185,21.218 seconds
Harrison Burton,2023,4,Atlanta Motor Speedway,Atlanta2,5,28,0,0,0,0,0,9,0,184,-1 lap
Martin Truex Jr,2023,4,Atlanta Motor Speedway,Atlanta2,16,29,0,0,0,0,5,16,0,184,-1 lap
Ty Gibbs,2023,4,Atlanta Motor Speedway,Atlanta2,7,34,0,0,0,0,0,3,0,150,-35 laps
